scheduler,id,arrival,burst,start,exit,waiting,turnaround,response
SRTF,336,154,12,192,204,38,50,38
SRTF,65,161,7,185,192,24,31,24
SRTF,30,189,28,204,232,15,43,15
SRTF,315,190,67,464,531,274,341,274
SRTF,203,197,59,352,411,155,214,155
SRTF,195,202,96,22307,22403,22105,22201,22105
SRTF,121,206,44,232,276,26,70,26
SRTF,290,225,56,280,336,55,111,55
SRTF,235,262,4,276,280,14,18,14
SRTF,309,301,16,336,352,35,51,35
SRTF,97,391,19,411,430,20,39,20
SRTF,486,412,23,441,464,29,52,29
SRTF,477,417,11,430,441,13,24,13
SRTF,7,466,12,537,549,71,83,71
SRTF,116,502,56,987,1043,485,541,485
SRTF,410,512,6,531,537,19,25,19
SRTF,346,537,26,549,575,12,38,12
SRTF,413,559,64,1475,1539,916,980,916
SRTF,326,569,5,575,580,6,11,6
SRTF,367,574,28,580,608,6,34,6
SRTF,419,580,33,616,649,36,69,36
